Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Ши Еꙋ ζик џїе къ тꙋ ещи пътрꙋ, ши спре ачаста пїатрѫ вою ζиди бесѣрека мѣ ши порциле ѩдꙋлꙋи нꙋ вор ꙟвинџе еи.	Și Eu îți zic ție, că tu ești Petru și pe această piatră voi zidi Biserica Mea și porțile iadului nu o vor birui.
Ши цїе вою да кеиле ꙟпъръцїи черюрелѡрь ши че аи лега пре пъмънт, фива легат ꙟчерюре, ши че аи деζлега пре пъмънт фива деζлегат ꙟчерюре.	Și îți voi da cheile împărăției cerurilor și orice vei lega pe pământ va fi legat și în ceruri, și orice vei dezlega pe pământ va fi dezlegat și în ceruri.
Атꙋнче контени ѹченичилѡр съи касъ нꙋ спꙋе немꙋрꙋи,къ ѧсте Ель ЇС ХС.	Atunci a poruncit ucenicilor Lui să nu spună nimănui că El este Hristosul.
Де атꙋнчи ꙟчепꙋ ЇС а спꙋне ѹченичилѡрь съи къ исѫ каде лꙋи а мѣрџе ꙟ Еросалим, ши мꙋлт апъри де бътръни ши де маи марїи попилѡр, ши де къртꙋлари, ши асѫ ѡморѫ, ши атреѧ ζи а ꙟвїѧ.	De atunci a început Iisus să le arate ucenicilor Lui că El trebuie să meargă la Ierusalim și să pătimească multe de la bătrâni și de la arhierei și de la cărturari și să fie ucis, și a treia zi să învieze.
Шил апꙋкѫ пре ел пътрꙋ, ши ꙟчепꙋ ачеста пре ел, ζнкънд: ферѣщете доамне,съ нꙋц фїе цїе ачѣстѣ.	Și Petru, luându-L la o parte, a început să-L dojenească, zicându-I: Fie-Ți milă de Tine să nu Ți se întâmple Ție aceasta.
Дарѫ Ель съ ꙟтоарсе, ζисе лꙋи пътрꙋ: пасѫ де ла мине сътано! сминтѣлѫм ещи; къ нꙋте ꙟцелепцещи де чѣлѣ че сънт дꙋмнеѕеещи, че кареле сънт ѡменещи.	Iar El, întorcându-se, a zis lui Petru: Mergi înapoia Mea, satano! Sminteală Îmi ești; că nu cugeți cele ale lui Dumnezeu, ci cele ale oamenilor.
Атꙋичѣ ЇС ζисе ѹченичилор съи: чине ва врѣ съ вїе дꙋпѫ мине, съсѫ лѣпеде де сине, ши съ ѧ крꙋчѣ са ши съ вїе дꙋпѫ мине.	Atunci Iisus a zis ucenicilor Săi: Dacă vrea cineva să vină după Mine, să se lepede de sine, să-și ia crucea și să-Mi urmeze Mie.
Кѫ варе чине арѫ врѣ съ мънтꙋѧскѫ вїѩца са пїѧрде; ѡва ѩрѫ чинеарѫ пїѧрде вїѩца са пентрꙋ мине афла ѡва.	Că cine va voi să-și scape sufletul îl va pierde; iar cine își va pierde sufletul pentru Mine îl va afla.
Кѫ че фолосѣще ѡмꙋлꙋи, сѫ арѫ добънди тоатѧ лꙋмѣ ши сꙋфлетꙋль съꙋ вапїѧрде? саꙋ че ва да ѡмꙋль скимб пентрꙋ сꙋфлетꙋль лꙋи?	Pentru că ce-i va folosi omului, dacă va câștiga lumea întreagă, iar sufletul său îl va pierde? Sau ce va da omul în schimb pentru sufletul său?
Къ васѫ вїе фїюл ѡменескь, кꙋ слава татѫлꙋи съꙋ, ши кꙋ ꙟџерїи лꙋи; ши атꙋнчѣ ва плѫти фїе кърꙋѧ дꙋпѫ фаптеле лꙋи.	Căci Fiul Omului va să vină întru slava Tatălui Său, cu îngerii Săi; și atunci va răsplăti fiecăruia după faptele sale.
Адевър гръескь воаѡ:,къ сънт ѹнїн де карїи стаꙋ ачичѣ, карїи нꙋ ворь гꙋста моарте, пънѫ нꙋ ворь ведѣ пре фїюль ѡменескь, вїинд ꙟтрꙋ ꙟпъръцїѧ са.	Adevărat grăiesc vouă: Sunt unii din cei ce stau aici care nu vor gusta moartea până ce nu vor vedea pe Fiul Omului, venind în împărăția Sa.
Ши дꙋпѫ шасе зиле, лꙋѡ ЇС кꙋ Ель пре пътрꙋ ши пре Їакѡв, ши пре Їѡань, фрателе лꙋи, шїи сꙋи пре Еи спре ѹн мꙋнте ꙟналть дееиш.	﻿Și după șase zile, Iisus a luat cu Sine pe Petru și pe Iacov și pe Ioan, fratele lui, și i-a dus într-un munte înalt, de o parte.
Ши съ скимбѫ ꙟнаитѣ лѡр, ши стрълꙋчи фаца лꙋи ка соареле, ѩрѫ вешминтеле лꙋи фꙋрѫ албе ка лꙋмина.	Și S-a schimbat la față, înaintea lor, și a strălucit fața Lui ca soarele, iar veșmintele Lui s-au făcut albe ca lumina.
Ши адекѫ, съ арътѫ лѡр мѡѵси ши Їлїе, гръинд кꙋ Ел.	Și iată, Moise și Ilie s-au arătat lor, vorbind cu El.
Ръспꙋнзъд, пътрꙋ ζисе лꙋи ЇС: доамне, бине ѧсте ноаѡ ачичѣ а фн; съ веи,съ фачем треи колиби: цїе ѹна, ши лꙋи мѡѵси ѹна, ши ѹна лꙋи Їлїе.	Și, răspunzând, Petru a zis lui Iisus: Doamne, bine este să fim noi aici; dacă voiești, voi face aici trei colibe: Ție una, și lui Moise una, și lui Ilie una.
ꙟкѫ гръинд ель, ѩка нꙋ ѡрь лꙋминать ѹмбри пре Еи, ши адекѫ глас ди ꙟнꙋѡр гръинд: Aчеста ѧсте фиюль чела ал мїеꙋ чел юбит, ꙟтрꙋ кареле мѫ ѡдихнїю; пре ачела аскꙋлта.	Vorbind el încă, iată un nor luminos i-a umbrit pe ei, și iată glas din nor zicând: "Acesta este Fiul Meu Cel iubit, în Care am binevoit; pe Acesta ascultați-L".
Ши аꙋζиндь, ѹченичїи къζꙋрѫ спре фѣцеле сале ши съ темꙋрѫ фоарте.	Și, auzind, ucenicii au căzut cu fața la pământ și s-au spăimântat foarte.
Атꙋнчи апропиесѫ ЇС, ши съ атинсе де Еи ши ζисе: скꙋлаць ши нꙋвѫ тѣмець.	Și Iisus S-a apropiat de ei, și, atingându-i, le-a zis: Sculați-vă și nu vă temeți.
Ѩрѫ ръдикъндь ѡкїи лѡрь, пре ниме нꙋ въζꙋрѫ, нꙋмаи пре ЇС сънгꙋрь.	Și, ridicându-și ochii, nu au văzut pe nimeni, decât numai pe Iisus singur.
Ши погоръндꙋсѫ Еи де ꙟмꙋите, порꙋнчи лѡр ЇС,зикънд:не мърꙋи съ нꙋ спꙋнець чѣци въζꙋт, пънѫ нꙋва ꙟвїѧ фїюл ѡменескьдс ꙟморци.	Și pe când se coborau din munte, Iisus le-a poruncit, zicând: Nimănui să nu spuneți ceea ce ați văzut, până când Fiul Omului Se va scula din morți.
Ши ꙟтребарѫ пре ел ѹченичїи лꙋи ζикънд: дарѫ къче ζикь къртꙋларїи къ тревꙋе Їлїе съ вїе маинте?	Și ucenicii L-au întrebat, zicând: Pentru ce dar zic cărturarii că trebuie să vină mai întâi Ilie?
Дарѫ ЇС ръспꙋнζънд, ζисе лѡр: ѩтѫ Їлїе ва вени маите, ши ва токми тоате.	Iar El, răspunzând, a zis: Ilie într-adevăr va veni și va așeza la loc toate.
Дарѫ гръескꙋвѫ воаѡ къ Їлїе ѩкѫ аꙋ венит, ши нꙋл кꙋноскꙋрѫ пре ел,че фъкꙋрѫ лꙋи къте врꙋрѫ; ашѧ ши фїюл ѡменескь аре апъци де Еи.	Eu însă vă spun vouă că Ilie a și venit, dar ei nu l-au cunoscut, ci au făcut cu el câte au voit; așa și Fiul Omului va pătimi de la ei.
Атꙋнчѣ ꙟцелѣсърѫ ѹченичїи, кѫ де Їѡань ботеζъторюль зисѫ лѡрь.	Atunci au înțeles ucenicii că Iisus le-a vorbit despre Ioan Botezătorul.
Ши мергъндь Еи кътрѫ мꙋлциме, съ апропїе кътрѫ Ель ѹн ѡмь, къζꙋ ꙟџенꙋнке ꙟнаинтѣ лꙋи.	Și mergând ei spre mulțime, s-a apropiat de El un om, căzându-I în genunchi,
Ши гръи зикъндь: доамне, фїец милѫ де фїюль мїеꙋ къе лꙋнатек ши ръꙋ пате, кѫ де мꙋлте ѡри каде ꙟфокь, ши де мꙋлте ѡри ꙟ апѫ .	Și zicând: Doamne, miluiește pe fiul meu că este lunatic și pătimește rău, căci adesea cade în foc și adesea în apă.
Ши адꙋш пре Ел ла ѹченичїи тъи, ши нꙋл пꙋтꙋрѫ виндека.	Și l-am dus la ucenicii Tăi și n-au putut să-l vindece.
Дарѫ ЇС, рѣспꙋнζънд зисе: ѡрꙋдѫ некрединчоасѫ ши ꙟдърътникѫ, пънѫ къндь вою фи кꙋ вои? пънѫ кънд вою ръбда пре вои? адꙋчецим пре Ель ꙟкоаче.	Iar Iisus, răspunzând, a zis: O, neam necredincios și îndărătnic, până când voi fi cu voi? Până când vă voi suferi pe voi? Aduceți-l aici la Mine.
Ши чертѫ ЇС пре Ель ши Еши дентрънсꙋ дракꙋль, ши съ виндекѫ коконꙋл де ꙟначела час.	Și Iisus l-a certat și demonul a ieșit din el și copilul s-a vindecat din ceasul acela.
Атꙋнче, съ апропїѧрѫ ѹченичїи де ЇС де Еиш ши ζисърѫ: пентрꙋ че нои нꙋ пꙋтꙋм скоате пре ел?	Atunci, apropiindu-se ucenicii de Iisus, I-au zis de o parte: De ce noi n-am putut să-l scoatem?
Ѩрѫ ЇС ζисе лѡр,пентрꙋ некрединца воастрѫ, къ адевър ζик воаѡ: съ аци авѣ крединцѫ кът ѹн гръꙋнцꙋ де мꙋщарю, џичерѣц мъгꙋрїи ачещїѧ: треч де ачичѣ коло, ши ва трѣче; ши немикѫ нарѫ фи съ нꙋсѫ поатѫ воаѡ.	Iar Iisus le-a răspuns: Pentru puțina voastră credință. Căci adevărat grăiesc vouă: Dacă veți avea credință în voi cât un grăunte de muștar, veți zice muntelui acestuia: Mută-te de aici dincolo, și se va muta; și nimic nu va fi vouă cu neputință.
Къ ачест фѣл де драч нꙋ ѧс че нꙋмаи кꙋ рꙋгъчюнѣ ши кꙋ постꙋл.	Dar acest neam de demoni nu iese decât numai cu rugăciune și cu post.
Ѩрѫ ꙟторкъндꙋсѫ Еи ꙟгалилею, зисе лѡр: дасѫва фїюль ѡменескь ꙟмъниле ѡаменилѡр.	Pe când străbăteau Galileea, Iisus le-a spus: Fiul Omului va să fie dat în mâinile oamenilor.
Шил ворь ѡморѫ пре Ел, ши атреѧ ζи ва ꙟвїе. ши съ ꙟтристарѫ фоарте!	Și-L vor omorî, dar a treia zi va învia. Și ei s-au întristat foarte!
дарѫ венинд Еи ꙟ капернаꙋмь, съ апропїарѫ чеи че лꙋа, дидрахмѫ кътрѫ пътрꙋ шїи зисърѫ: ꙟвъцъторюл вострꙋ наре дидрахмѫ.	Venind ei în Capernaum, s-au apropiat de Petru cei ce strâng darea (pentru Templu) și i-au zis: Învățătorul vostru nu plătește darea?
Гръи ашѧ, ши кьнд ꙟтрѫ ꙟкасѫ, ма наинте ꙟтребѫ пре ел ЇС, зикънд: чецисѫ паре, симѡне? краи пъментещи де ла карїи ѩꙋ дажде саꙋ бирꙋ? дела фечорїи лѡрь аꙋ дела стреини?	Ba, da! - a zis el. Dar intrând în casă, Iisus i-a luat înainte, zicând: Ce ți se pare, Simone? Regii pământului de la cine iau dări sau bir? De la fiii lor sau de la străini?
Зисе пътрꙋ лꙋи, дела стреини. Гръи лꙋи ЇС: дарѫ фечорїи слобоζи сънть?	El I-a zis: De la străini. Iisus i-a zis: Așadar, fiii sunt scutiți.
Че касѫ нꙋи сминтимь пре Еи, пасѫ ла маре, арꙋнкѫ ѹндица ши каре пѣще веи скоате ꙟтъи, адꙋль, ши дешкиде гꙋра лꙋи, веи афла ѹнь статирь, ачела ѧ шил дѫ лѡрь дерепт мине ши дерепт тине.	Ci ca să nu-i smintim pe ei, mergând la mare, aruncă undița și peștele care va ieși întâi, ia-l, și, deschizându-i gura, vei găsi un statir (un ban de argint). Ia-l și dă-l lor pentru Mine și pentru tine.
﻿ꙟтрачел час съ апропїарѫ ѹченичїи кътрѫ ЇС, зикънд: ѡаре чинеи, маи маре ꙟтрꙋ ꙟпъръцїѧ черюрелорь?	În ceasul acela, s-au apropiat ucenicii de Iisus și I-au zis: Cine, oare, este mai mare în împărăția cerurilor?
Ши кемѫ ЇС ѹн поробок, ши пꙋсе ꙟмижлокꙋл лѡр.	Și chemând la Sine un prunc, l-a pus în mijlocul lor,
Ши зисе, адевърь гръескь воаѡ: съ нꙋ вѫ вец ꙟтоарче ши съ фиц ка поробочїи, нꙋ вец ꙟтра ꙟтрꙋ ꙟпъръцїѧ черюрелорь.	Și a zis: Adevărat zic vouă: De nu vă veți întoarce și nu veți fi precum pruncii, nu veți intra în împărăția cerurilor.
Къ варе чине съва смери ꙟсине ка ачест поробок, ачела ѧсте маи маре ꙟтрꙋ ꙟпъръцїѧ черюрелѡрь.	Deci cine se va smeri pe sine ca pruncul acesta, acela este cel mai mare în împărăția cerurilor.
Ши аꙋ чине арѫ прїими пре ѹнь поробок ка ачеста, ꙟ нꙋмеле мїеꙋ пре мине прїимѣще.	Și cine va primi un prunc ca acesta în numele Meu, pe Mine Mă primește.
Дарѫ чине арѫ зминти пре ѹнꙋль де ачещи мич, карїи кред ꙟтрꙋ мине, маи бине ѩрѫ фи лꙋи съи лѣџе пїатра морїи де грꙋмаζїи лꙋи, ши съсѫ ꙟнѣче ꙟтрадънкꙋл мърїи.	Iar cine va sminti pe unul dintr-aceștia mici care cred în Mine, mai bine i-ar fi lui să i se atârne de gât o piatră de moară și să fie afundat în adâncul mării.
Баи лꙋмїи, деζминтѣле, къ требꙋѧще съ вїе сминтѣлеле, ꙟсѫ ваи де ѡмꙋл ачела, пентрꙋ кареле вине ζминтѣла.	Vai lumii, din pricina smintelilor! Că smintelile trebuie să vină, dar vai omului aceluia prin care vine sminteala.
Ѩрѫ детева ζминти мъна та саꙋ пичорꙋль тъꙋ, таеѡ ши ѡлапъдѫ дела тине, маи бине ѧсте цїе чюнгь саꙋ шкїѡп съ ꙟтри ꙟвїацѫ, декѫт доаѡ мън саꙋ доаѡ пичоаре авъндь арꙋнкать ꙟфокꙋль де вѣч.	Iar dacă mâna ta sau piciorul tău te smintește, taie-l și aruncă-l de la tine, că este bine pentru tine să intri în viață ciung sau șchiop, decât, având amândouă mâinile sau amândouă picioarele, să fii aruncat în focul cel veșnic.
Ши ѡкюль тъꙋ Сътева сминти, скоатель шиль лѣпъдѫ де ла тине, маи бине ѧсте цїе ѹн ѡкю авънд ꙟ вїацѫ сѫ ꙟтри, декът дои ѡки авънд, арꙋнкат ꙟматка фокꙋлꙋи.	Și dacă ochiul tău te smintește, scoate-l și aruncă-l de la tine, că mai bine este pentru tine să intri în viață cu un singur ochi, decât, având amândoi ochii, să fii aruncat în gheena focului.
Сокотиц съ нꙋ ѡбидиц преврꙋнꙋл деачещь мич, къ вѫ гръеск воаѡ: къ ꙟџерїи лѡр, ꙟчерю пꙋрꙋрѣ, въд фаца татълꙋи мїеꙋ чель де ꙟчерюрь.	Vedeți să nu disprețuiți pe vreunul din aceștia mici, că zic vouă: Că îngerii lor, în ceruri, pururea văd fața Tatălui Meu, Care este în ceruri.
Къ аꙋ венить фїюль ѡменескь, ши сѫ мънтꙋѧскѫ че Ера перить.	Căci Fiul Omului a venit să caute și să mântuiască pe cel pierdut.
Дарѫ чесѫ паре воаѡ? съва авѣ ѹн ѡмь ѡсꙋтѫ де ѡи, ши ва рътъчи ѹна дентрънсе, аꙋ нꙋва лъса ноаѡζечь ши ноаѡ ꙟмꙋнци ши ва мѣрџе де ва къꙋта пречѣ рътъчитѫ.	Ce vi se pare? Dacă un om ar avea o sută de oi și una din ele s-ar rătăci, nu va lăsa, oare, în munți pe cele nouăzeci și nouă și ducându-se va căuta pe cea rătăcită?
Ши де съва тъмпла сь ѡ афле, адевърат гръескь воаѡ къ съва бꙋкꙋра де ачѣѧ маи врътось декът де чѣле ноаѡζеч ши ноаѡ нерътъчите.	Și dacă s-ar întâmpla s-o găsească, adevăr grăiesc vouă că se bucură de ea mai mult decât de cele nouăzeci și nouă, care nu s-au rătăcit.
Ашѧ нꙋи воѧ татълꙋи вострꙋ, де ꙟчерюр, касѫ пїѧе ѹнꙋл дечещи мичь.	Astfel nu este vrere înaintea Tatălui vostru, Cel din ceruri, ca să piară vreunul dintr-aceștia mici.
Ѩрѫ съ греши фрателе тъꙋ цїе, пасѫ ши чартѫ пре Ель ꙟтретине, ши ꙟтре Ель сънгꙋрь сътева аскꙋлта аи добъндит пре фрателе тъꙋ.	De-ți va greși ție fratele tău, mergi, mustră-l pe el între tine și el singur. Și de te va asculta, ai câștigat pe fratele tău.
Ѩрѫ съ нꙋ ва аскꙋлта пре тине, маи ѧ лънгѫ тине ꙟкѫ ѹнꙋл саꙋ дои, къ де ꙟгꙋра адои аꙋ атреи мъртꙋрїи съ ꙟ ꙟтърѣще тот кꙋвънтꙋль.	Iar de nu te va asculta, ia cu tine încă unul sau doi, ca din gura a doi sau trei martori să se statornicească tot cuvântul.
Ѩрѫ съ нꙋ ва аскꙋлта ши пре еи, спꙋне съборꙋлꙋин; ѩрѫ де нꙋва аскꙋлта нече съборꙋль, фїе цїе ка ѹнь пъгѫнь ши пꙋбликань.	Și de nu-i va asculta pe ei, spune-l Bisericii; iar de nu va asculta nici de Biserică, să-ți fie ție ca un păgân și vameș.
Адевърь гръескь воаѡ, къ варе чевец лега пре пъмънт, фивор легате ꙟчерю, ши варе че вець деζлега пре пъмънт, фивор деζлегате ꙟчерю.	Adevărat grăiesc vouă: Oricâte veți lega pe pământ, vor fi legate și în cer, și oricâte veți dezlega pe pământ, vor fi dezlegate și în cer.
Ѩрѫш зик воаѡ: къ де ворфи дои де ꙟвои ꙟтрꙋн ꙟцелес препъмьнть, де тот лꙋкрꙋль кареле арѫ чѣре, фива лѡрь дела татъль мїеꙋ чель деꙟчерюре.	Iarăși grăiesc vouă că, dacă doi dintre voi se vor învoi pe pământ în privința unui lucru pe care îl vor cere, se va da lor de către Tatăl Meu, Care este în ceruri.
Къ ѹнде сънт дои саꙋ треи адꙋнаць ꙟтрꙋ нꙋмеле мїеꙋ, аколо сънт ꙟмижлокꙋль лѡрь.	Că unde sunt doi sau trei, adunați în numele Meu, acolo sunt și Eu în mijlocul lor.
Атꙋнчи съ апропїе де ел пътрꙋ зисе: доамне, де къте ѡри ва греши фрателе мїе ꙋмїе? Ертавою лꙋи пънѫ ꙟшапте ѡри?	Atunci Petru, apropiindu-se de El, I-a zis: Doamne, de câte ori va greși față de mine fratele meu și-i voi ierta lui? Oare până de șapte ori?
Зисе ЇС лꙋи: нꙋ зикь цїе нꙋмаи пънѫ де шапте ѡри, че пънѫ де шаптеѡри къте шаптеζеч.	Zis-a lui Iisus: Nu zic ție până de șapte ori, ci până de șaptezeci de ori câte șapte.
Дерепт ачѣѧ, асамънъсѫ ꙟпъръцїѧ черюлꙋи, ѡмꙋлꙋи краю, кареле врꙋ сѫ баџе самѫ кꙋ слꙋџиле лꙋи.	De aceea, asemănatu-s-a împărăția cerurilor omului împărat care a voit să se socotească cu slugile sale.
Дечи, ꙟчепънд ель абъга самѫ, адꙋсърѫ лꙋи преꙋн дѣ торникь кꙋ зѣче мїе де таланци.	Și, începând să se socotească cu ele, i s-a adus un datornic cu zece mii de talanți.
Ши кънд наре авѣ де ѹнде плъти, порꙋнчи домнꙋл лꙋи, сѫл вънζѫ, ши мꙋѧрѣ лꙋи, ши фечорїи ши тоате че авѣ, ши съи плътѣскѫ.	Dar neavând el cu ce să plătească, stăpânul său a poruncit să fie vândut el și femeia și copii și pe toate câte le are, ca să se plătească.
Ѩрѫ слꙋга ачѣѧ плекъндꙋсѫ, рꙋга пре Ель, зикъндь: доамне, ѡпрѣщец мънїѧ ши тоатец вою плъти.	Deci, căzându-i în genunchi, sluga aceea i se închina, zicând: Doamne, îngăduiește-mă și-ți voi plăti ție tot.
Фѣчеисѫ милѫ домнꙋлꙋи де слꙋга ачѣѧ, дел слобоζи пре Ель, шїи ертѫ дѣторїѧ.	Iar stăpânul slugii aceleia, milostivindu-se de el, i-a dat drumul și i-a iertat și datoria.
Дарѫ Ешинд слꙋга ачѣѧ, афлѫ преꙋнꙋл деꙟ соцїи съи, каре леи Ера лꙋи дѣторю кꙋ ѡсꙋтѫ де бани, шил принсе пре ель дел сꙋгрꙋма, гръинд: плътѣщеми кꙋ че ми ещи дѣторю.	Dar, ieșind, sluga aceea a găsit pe unul dintre cei ce slujeau cu el și care-i datora o sută de dinari. Și punând mâna pe el, îl sugruma zicând: Plătește-mi ce ești dator.
Къζꙋ адекѫ соцꙋл лꙋи ла пичоареле лꙋи, рꙋга пре ел гръинд, ѡпрѣщец мънїѧ ши вою плъти цїе тоате.	Deci, căzând cel ce era slugă ca și el, îl ruga zicând: Îngăduiește-mă și îți voi plăti.
Ѩрѫ Ел нꙋ врꙋ, чель дꙋсе дел бъгѫ ꙟтемницѫ пънѫ наре плъти дѣторїѧ.	Iar el nu voia, ci, mergând, l-a aruncat în închisoare, până ce va plăti datoria.
Ѩрѫ въζъид соцїи лꙋи ачѣстѣ че фꙋрѫ, фоарте сѫ ꙟтристарѫ, ши венирѫ де спꙋсърѫ домнꙋлꙋи съꙋ тоате кареле фꙋрѫ.	Iar celelalte slugi, văzând deci cele petrecute, s-au întristat foarte și, venind, au spus stăpânului toate cele întâmplate.
Атꙋнчи, кемѫ пре ел домнꙋ съꙋ, ζисе лꙋи: слꙋгѫ хиклѣнѫ, тоатѫ дѣторїѧ Ертаю цїе пентрꙋ че мѫ рꙋгаш.	Atunci, chemându-l stăpânul său îi zise: Slugă vicleană, toată datoria aceea ți-am iertat-o, fiindcă m-ai rugat.
Аꙋ нꙋ цисѫ къдѣ ши цїе съц фїе милѫ де соцꙋль тъꙋ, кꙋм ши мїе миаꙋ фост милѫ де тине?	Nu se cădea, oare, ca și tu să ai milă de cel împreună slugă cu tine, precum și eu am avut milă de tine?
Ши съ мънїе домнꙋл лꙋи, шил дѣде пре ель мꙋнчиторилѡр пънѫ нꙋ ва плъти тоатѫ дѣторїѧ.	Și mâniindu-se stăpânul lui, l-a dat pe mâna chinuitorilor, până ce-i va plăti toată datoria.
Аша ши татѫл мїеꙋ чель ден черю ва фаче воаѡ, съ нꙋ вец ерта фїете кареле фрателꙋи съꙋ, де ла инимиле воастре грешалеле лѡрь.	Tot așa și Tatăl Meu cel ceresc vă va face vouă, dacă nu veți ierta - fiecare fratelui său - din inimile voastre.
﻿Ши фꙋ кънд сфърши ЇС кꙋвинтеле ачѣстѣ, Еши дин галилею ши вени ꙟхотаръле Їꙋдеи, дечѣѧ парте де Їордань.	﻿Iar după ce Iisus a sfârșit cuvintele acestea, a plecat din Galileea și a venit în hotarele Iudeii, dincolo de Iordan.
Ши мѣрсърѫ дꙋпѫ ель мꙋлциме мꙋлтѫ ши виндекѫ пре еи.	Și au mers după El mulțimi multe și i-a vindecat pe ei acolo.
Атꙋнчш съ апропїѩрѫ кътрѫ ель фарисеїи, испитиндꙋль пре ель ши ζикънд: каде сѫ алѫса ѡмꙋлꙋи пре мꙋѧрѣ лꙋи пентрꙋ фїе каре винѫ?	Și s-au apropiat de El fariseii, ispitindu-L și zicând: Se cuvine, oare, omului să-și lase femeia sa, pentru orice pricină?
Ель ръспꙋнζънд, ζисе лѡрь: аꙋ нац четит, къ фъкъторюл аꙋ фъкꙋт динтъи бърбатꙋл ши мꙋѧрѣ?	Răspunzând, El a zis: N-ați citit că Cel ce i-a făcut de la început i-a făcut bărbat și femeie?
Шаꙋ ζись: дерепть ачѣѧ ва лѫса ѡмꙋль пре татѫ съꙋ ши пре мꙋмѫ са, ши съ липѣще кътрѫ мꙋѧрѣ са ши ворь фи амъндои ѹнь трꙋпь.	Și a zis: Pentru aceea va lăsa omul pe tatăl său și pe mama sa și se va lipi de femeia sa și vor fi amândoi un trup.
Дерепт ачѣѧ дѣчїи нꙋмаи сънт дои, че ѹн трꙋпь. Че ꙟпреꙋнѫ дꙋмнеζеꙋ, ѡмꙋль съ нꙋ деспарцѫ.	Așa încât nu mai sunt doi, ci un trup. Deci, ce a împreunat Dumnezeu omul să nu despartă.
Зисърѫ лꙋи: дарѫ къче аꙋ порꙋнчит мѡѵси съ дѣ карте де лъсаре, ши съ ѡл ласе пре ѧл?	Ei I-au zis Lui: Pentru ce, dar, Moise a poruncit să-i dea carte de despărțire și să o lase?
Зисе лѡрь: къ мѡѵси пентрꙋ ꙟтъримѣ инимїи воастре, аꙋ лъсат воаѡ съвѫ лъсац мꙋериле воастре, ѩрѫ дентъи наꙋ фость ашѧ.	El le-a zis: Pentru învârtoșarea inimii voastre, v-a dat voie Moise să lăsați pe femeile voastre, dar din început nu a fost așa.
Ѩрѫ ζик воаѡ: къ аꙋ чинеш ва лѫса мꙋѧрѣ лꙋи, фърѫ де винѫ де кꙋрвїе ши ва лꙋа алта, кꙋрвѣще ши чине ва лꙋа лъсатѫ де алтꙋл, кꙋрвїе фаче.	Iar Eu zic vouă că oricine va lăsa pe femeia sa, în afară de pricină de desfrânare, și se va însura cu alta, săvârșește adulter; și cine s-a însurat cu cea lăsată săvârșește adulter.
Зисърѫ лꙋи ѹченичїи лꙋи: де ѧсте ашѧ ръндꙋл ѡмꙋлꙋи кꙋ мꙋѧрѣ, нꙋи вине съсѫ ꙟсоаре.	Ucenicii I-au zis: Dacă astfel este pricina omului cu femeia, nu este de folos să se însoare.
Ѩрѫ Ел ζисе лѡрь: нꙋл кꙋприндь тоц кꙋвънтꙋл ачеста, че кърора лїе датѫ.	Iar El le-a zis: Nu toți pricep cuvântul acesta, ci aceia cărora le este dat.
Къ сънт фамени кареи ден трꙋпꙋл мꙋмеи лѡр аꙋ нъскꙋт ашѧ, ши сънт фамени карїис џюгъниць де ѡамени, ши сънть фамеи карїи съ џюгънескь ꙟшиш пресине пентрꙋ ꙟпъръцїѧ черюрилѡр. Чела че поате кꙋпринде кꙋпринζѫ.	Că sunt fameni care s-au născut așa din pântecele mamei lor; sunt fameni pe care oamenii i-au făcut fameni, și sunt fameni care s-au făcut fameni pe ei înșiși, pentru împărăția cerurilor. Cine poate înțelege să înțeleagă.
Атꙋнчѣ адꙋсърѫ кътрѫ Ель поробочїи, съш пꙋе мъниле спре Еи ши съ сѧ роаџе; ѩрѫ ѹченичїи черта пре еи.	Atunci I s-au adus copii, ca să-și pună mâinile peste ei și să Se roage; dar ucenicii îi certau.
Ѩрѫ ЇС ζисе, лъсаць поробочїи ши нꙋи ѡприрець пре Еи авени кътрѫ мине, къи ꙟпъръцїѧ черюрелѡр ка ачестора.	Iar Iisus a zis: Lăsați copiii și nu-i opriți să vină la Mine, că a unora ca aceștia este împărăția cerurilor.
Ши пꙋиндꙋш спре еи мъниле, ши съ дꙋсе де аколѣ.	Și punându-Și mâinile peste ei, S-a dus de acolo.
Ши, ѩка, каре чине апропїиндꙋсе зисе лꙋи: ꙟвъцътоаре бꙋне, че бине вою фаче, ка съ аибꙋ вїаца вѣчилѡрь.	Și, iată, venind un tânăr la El, I-a zis: Bunule Învățător, ce bine să fac, ca să am viața veșnică?
Дарѫ ел ζисе лꙋи: чемѫ гръещи бꙋн? ниме нꙋи бꙋн, фърѫ нꙋмаи ꙋнꙋл дꙋмнеζъꙋ. дарѫ де веи съ ꙟтри ꙟвїацѫ, цине порꙋнчиле.	Iar El a zis: De ce-Mi zici bun? Nimeni nu este bun decât numai Unul Dumnezeu. Iar de vrei să intri în viață, păzește poruncile.
Зисе лꙋи: кареле? дарѫ ЇС ζисе: нꙋ ѡморѫ, нꙋ кꙋрви, нꙋ фꙋра, нꙋ мъртꙋриси стрърмбꙋ.	El I-a zis: Care? Iar Iisus a zis: Să nu ucizi, să nu săvârșești adulter, să nu furi, să nu mărturisești strâmb;
